server	realm_slug	aliases	status	notes
斯坦索姆	stratholme		verified	observed in Edge wow character bookmarks
伊森利恩	isillien		verified	observed in Edge wow character bookmarks
丽丽（四川）	li-li	丽丽|丽丽四川	verified	observed in Edge wow character bookmarks
回音山	echo-ridge		verified	observed in Edge wow character bookmarks
凤凰之神	alar	凤凰|凤凰之神	verified	observed in Edge wow character bookmarks
霜之哀伤	frostmourne		verified	observed in Edge wow character bookmarks
通灵学院	scholomance		draft	not observed in Edge bookmarks yet
死亡之翼	deathwing		verified	observed in Edge wow character bookmarks
影之哀伤	shadowmourne		verified	observed in Edge wow character bookmarks
米奈希尔	menethil		verified	observed in Edge wow character bookmarks
图拉扬	turalyon		verified	observed in Edge wow character bookmarks
诺兹多姆	nozdormu		verified	observed in Edge wow character bookmarks
神圣之歌	holy-chanter		verified	observed in Edge wow character bookmarks
冰风岗	chillwind-point		verified	Chinese name inferred from slug; slug observed for 亚妮艾丝 in Edge bookmarks
伊利丹	illidan		verified	observed in Edge wow character bookmarks
银色之手	silver-hand		verified	observed in Edge wow character bookmarks
金色平原	the-golden-plains		verified	observed in Edge wow character bookmarks
